id,user_id,transaction_date,amount,type
1,118,2024-08-11,3681.66,withdrawal
2,56,2024-10-24,4475.45,deposit
3,105,2024-08-26,3650.2,deposit
4,7,2024-08-10,2236.48,withdrawal
5,175,2024-08-14,4285.95,withdrawal
6,97,2024-09-24,4073.27,deposit
7,166,2024-12-18,88.54,deposit
8,141,2024-12-09,3342.05,deposit
9,179,2024-11-09,3523.07,withdrawal
10,150,2024-08-08,3918.38,deposit
11,148,2024-08-15,2670.29,deposit
12,156,2024-09-18,2091.37,withdrawal
13,146,2024-07-06,4275.52,deposit
14,100,2024-09-06,3224.1,withdrawal
15,147,2024-07-11,4277.44,withdrawal
16,134,2024-07-10,1962.78,withdrawal
17,22,2024-07-14,2870.09,withdrawal
18,48,2024-12-15,3236.37,withdrawal
19,8,2024-12-16,2948.89,withdrawal
20,135,2024-09-30,2792.73,deposit
21,172,2024-08-11,3030.77,deposit
22,162,2024-11-12,487.0,withdrawal
23,32,2024-09-08,3060.15,deposit
24,125,2024-09-26,3991.27,deposit
25,71,2024-09-29,3967.13,deposit
26,54,2024-12-13,2273.33,withdrawal
27,37,2024-10-09,1545.85,withdrawal
28,123,2024-10-01,3336.96,deposit
29,129,2024-12-08,1768.22,deposit
30,69,2024-08-11,4545.74,withdrawal
31,19,2024-11-01,4328.31,withdrawal
32,131,2024-10-21,399.47,deposit
33,105,2024-11-06,3306.04,withdrawal
34,178,2024-11-12,4798.29,deposit
35,134,2024-09-21,1360.41,withdrawal
36,31,2024-09-21,749.36,withdrawal
37,12,2024-07-05,3986.56,deposit
38,86,2024-11-27,2915.67,deposit
39,7,2024-08-04,501.47,deposit
40,87,2024-07-02,1288.15,deposit
41,101,2024-08-07,1546.09,deposit
42,47,2024-09-02,4661.33,withdrawal
43,141,2024-08-12,1935.43,withdrawal
44,59,2024-11-29,3104.9,withdrawal
45,112,2024-07-09,883.59,withdrawal
46,10,2024-12-16,2861.2,deposit
47,99,2024-11-09,4361.43,deposit
48,106,2024-09-02,3347.3,withdrawal
49,185,2024-12-15,4398.52,deposit
50,26,2024-08-15,3179.0,deposit
51,53,2024-09-15,4800.4,deposit
52,125,2024-08-19,1457.51,withdrawal
53,57,2024-09-16,2680.64,withdrawal
54,13,2024-09-24,1932.64,deposit
55,107,2024-08-13,4266.41,withdrawal
56,186,2024-09-14,330.53,deposit
57,66,2024-12-01,4189.7,withdrawal
58,85,2024-09-08,1946.93,withdrawal
59,1,2024-06-27,2973.21,withdrawal
60,57,2024-10-25,3829.61,deposit
61,49,2024-08-16,4021.22,withdrawal
62,111,2024-11-29,2669.0,withdrawal
63,71,2024-10-08,3101.28,deposit
64,111,2024-07-04,2055.0,withdrawal
65,119,2024-08-18,4273.33,deposit
66,52,2024-10-25,1776.59,deposit
67,181,2024-11-23,1068.56,deposit
68,62,2024-07-27,426.3,withdrawal
69,165,2024-07-27,3715.61,withdrawal
70,68,2024-08-03,2105.09,withdrawal
71,47,2024-09-08,49.55,withdrawal
72,73,2024-08-02,1252.46,withdrawal
73,92,2024-10-24,3813.71,withdrawal
74,11,2024-11-27,276.38,deposit
